Rank,R,Q,D*S,Edges,Diam,APL
1,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
2,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
3,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
4,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
5,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
6,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
7,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
8,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
9,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
10,1.0,0.5614035087719298,12.0,60,2,1.6842105263157894
