Rank,R,Q,D*S,Edges,Diam,APL
1,0.99996020772724,1.136302294197031,15.6,39,4,2.2157894736842105
2,0.99994886101976,1.209103840682788,14.8,37,4,2.236842105263158
3,0.999909974907667,1.1911357340720221,15.2,38,4,2.263157894736842
4,0.9999003617249408,1.4705882352941178,17.0,34,5,2.5
5,0.9998740568000767,1.081578947368421,16.0,40,4,2.163157894736842
6,0.9998544364517257,1.344360902255639,17.5,35,5,2.3526315789473684
7,0.9997993182442099,1.1863442389758179,14.8,37,4,2.194736842105263
8,0.9997916749759768,2.1052631578947367,18.0,30,6,3.1578947368421053
9,0.9997612594962038,1.6480263157894737,16.0,32,5,2.636842105263158
10,0.9997608655133052,1.3293233082706768,14.0,35,4,2.3263157894736843
11,0.9997490722918735,1.3808049535603717,13.6,34,4,2.3473684210526318
12,0.9997429392914182,1.625,16.0,32,5,2.6
13,0.9997307652198513,1.6468590831918506,12.4,31,4,2.5526315789473686
14,0.999692470082106,1.6536502546689305,15.5,31,5,2.5631578947368423
15,0.999683259637454,1.2485380116959064,14.4,36,4,2.2473684210526317
16,0.9996438657251805,1.263157894736842,14.4,36,4,2.2736842105263158
17,0.9995898638025438,1.4577352472089316,13.2,33,4,2.405263157894737
18,0.9995647495815513,1.3233082706766919,14.0,35,4,2.3157894736842106
19,0.9995209386832256,1.3011695906432748,18.0,36,5,2.3421052631578947
20,0.9994505251840677,1.7438596491228069,15.0,30,5,2.6157894736842104
21,0.9994387976264524,1.4864433811802233,16.5,33,5,2.4526315789473685
22,0.99943729611385,1.4674922600619196,17.0,34,5,2.4947368421052634
23,0.9993464173919031,1.7859649122807018,15.0,30,5,2.6789473684210527
24,0.9992846934044537,1.260233918128655,14.4,36,4,2.268421052631579
25,0.9992721209724004,1.393188854489164,13.6,34,4,2.3684210526315788
26,0.9992403659507721,1.2777777777777777,14.4,36,4,2.3
27,0.9992299560470732,1.2603129445234706,18.5,37,5,2.331578947368421
28,0.9992191390277124,1.4704944178628392,13.2,33,4,2.4263157894736844
29,0.9990855656923193,2.0072595281306715,17.4,29,6,2.9105263157894736
30,0.9990683617724132,1.5374800637958532,19.799999999999997,33,6,2.536842105263158
31,0.9988442030134534,1.5374800637958532,16.5,33,5,2.536842105263158
32,0.9986969540938908,1.5183413078149919,16.5,33,5,2.5052631578947366
33,0.9986901950983856,1.6366723259762308,15.5,31,5,2.536842105263158
34,0.9985978586397142,1.4896331738437,19.799999999999997,33,6,2.457894736842105
35,0.9984570185086356,1.6434634974533107,15.5,31,5,2.5473684210526315
36,0.9984554294442778,1.3808049535603717,13.6,34,4,2.3473684210526318
37,0.9983690508825509,1.5427631578947367,16.0,32,5,2.468421052631579
38,0.9983411700260924,1.6536502546689305,15.5,31,5,2.5631578947368423
39,0.9983063682033815,2.1637426900584793,16.200000000000003,27,6,2.9210526315789473
40,0.9983053569806083,1.85480943738657,14.5,29,5,2.6894736842105265
41,0.9981875254508088,2.1364522417153995,16.200000000000003,27,6,2.8842105263157896
42,0.9981577053229717,1.66383701188455,15.5,31,5,2.5789473684210527
43,0.9980200258102574,1.9600725952813067,17.4,29,6,2.8421052631578947
44,0.997953162534775,1.8294010889292196,14.5,29,5,2.6526315789473682
45,0.9978914341697377,1.5855263157894735,19.200000000000003,32,6,2.536842105263158
46,0.9977497841849232,1.8911070780399273,14.5,29,5,2.7421052631578946
47,0.9977315734198319,1.7087719298245616,15.0,30,5,2.5631578947368423
48,0.9977241052551091,1.3869969040247676,17.0,34,5,2.357894736842105
49,0.9977118042334969,1.7298245614035086,15.0,30,5,2.594736842105263
50,0.9975410651780013,1.4513556618819778,13.2,33,4,2.3947368421052633
51,0.9974522439223028,1.599320882852292,15.5,31,5,2.4789473684210526
52,0.9971443506646247,1.7691001697792867,18.6,31,6,2.7421052631578946
53,0.997140108782083,2.2874493927125505,15.600000000000001,26,6,2.973684210526316
54,0.9971338750971094,1.7039473684210527,19.200000000000003,32,6,2.7263157894736842
55,0.9970773385511585,1.598086124401914,16.5,33,5,2.636842105263158
56,0.9970502062622072,1.869328493647913,14.5,29,5,2.710526315789474
57,0.9966631837281366,2.171539961013645,16.200000000000003,27,6,2.931578947368421
58,0.9958373780622927,2.3238866396761133,13.0,26,5,3.0210526315789474
59,0.9952838496000926,2.1052631578947367,16.799999999999997,28,6,2.9473684210526314
60,0.9952155898741142,2.496842105263158,15.0,25,6,3.1210526315789475
61,0.9951282307327283,2.1442495126705654,16.200000000000003,27,6,2.8947368421052633
62,0.9950737735409645,2.280701754385965,16.200000000000003,27,6,3.0789473684210527
63,0.9948369766861349,2.0580762250453724,17.4,29,6,2.9842105263157896
64,0.9946646923421592,1.775438596491228,18.0,30,6,2.663157894736842
65,0.9938414169220422,2.194931773879142,16.200000000000003,27,6,2.963157894736842
66,0.9937325769575065,2.1793372319688107,16.200000000000003,27,6,2.942105263157895
67,0.9936300582296995,2.442105263157895,15.0,25,6,3.0526315789473686
68,0.9931655961681126,2.465587044534413,18.2,26,7,3.205263157894737
69,0.9924517691972302,2.279352226720648,15.600000000000001,26,6,2.963157894736842
70,0.9922726645715206,2.198830409356725,18.900000000000002,27,7,2.968421052631579
71,0.9920746794097921,2.4858299595141697,20.8,26,8,3.231578947368421
72,0.9917317654500148,2.5010526315789474,17.5,25,7,3.126315789473684
73,0.9907423386863771,2.719298245614035,16.8,24,7,3.263157894736842
74,0.9899001608423023,2.3238866396761133,15.600000000000001,26,6,3.0210526315789474
75,0.9898618525717937,2.5384615384615383,15.600000000000001,26,6,3.3
76,0.9895919305103663,2.484210526315789,15.0,25,6,3.1052631578947367
77,0.9891267111260965,2.2846003898635474,16.200000000000003,27,6,3.0842105263157893
78,0.9888224994197263,2.493927125506073,15.600000000000001,26,6,3.2421052631578946
